3	4	4	4	4	6	1	2	8	8	4	5	8	8
2	2	1	5	2	3	3	3	4	14	8	12	8	9
2	2	2	3	3	3	2	2	4	12	4	9	8	9
2	8	4	8	3	9	1	1	2	12	5	12	8	8
3	4	2	3	2	9	1	2	3	8	6	12	8	9
2	8	2	8	1	6	2	8	12	12	5	12	8	8
4	4	3	4	3	3	2	3	2	12	1	6	1	9
2	4	1	8	6	10	2	8	12	12	1	4	1	8
8	8	3	8	9	10	2	3	2	3	4	6	1	8
8	8	8	8	6	9	1	1	3	3	5	8	1	8
2	8	1	5	1	3	2	2	4	12	4	10	1	9
2	4	5	8	3	6	1	8	8	14	1	6	1	8
3	4	1	4	4	6	2	3	4	14	4	6	1	8
2	8	2	4	3	9	3	8	3	14	4	6	1	8
3	8	4	8	1	2	1	2	1	8	6	10	1	8
3	3	3	8	6	9	2	2	3	12	12	12	1	1
3	3	2	5	2	3	1	3	2	3	5	10	8	9
2	3	4	8	4	9	1	3	8	12	4	12	1	8
3	8	3	5	4	10	3	8	4	12	6	12	8	8
2	2	5	8	6	10	2	3	2	12	4	5	1	8
